Country,Australia,Belarus,Brazil,Cameroon,Canada,China,Democratic Republic of the Congo,Egypt,France,Germany,Ghana,India,Indonesia,Italy,Kenya,Liberia,Mexico,Nigeria,Philippines,Portugal,Serbia,South Africa,Spain,Thailand,Turkey,Ukraine,United Kingdom of Great Britain and Northern Ireland,United States of America,Zimbabwe
Australia,0.00,0.80,0.62,0.85,0.19,0.54,0.88,0.92,0.25,0.26,1.14,0.68,1.21,0.36,1.57,1.42,0.61,0.97,0.87,0.45,1.01,0.72,0.38,0.59,0.62,0.77,0.15,0.22,1.06
Belarus,0.80,0.00,0.51,0.73,0.80,0.42,0.73,0.80,0.83,0.80,1.06,0.70,0.95,0.68,1.49,1.33,0.62,0.74,0.76,0.62,0.67,0.68,0.80,0.49,0.52,0.48,0.73,0.66,1.05
Brazil,0.62,0.51,0.00,0.76,0.62,0.48,0.81,0.75,0.66,0.67,0.98,0.54,1.06,0.54,1.52,1.22,0.52,0.82,0.63,0.43,0.73,0.49,0.57,0.45,0.53,0.59,0.58,0.52,1.03
Cameroon,0.85,0.73,0.76,0.00,0.83,0.67,0.66,0.69,0.86,0.88,0.62,0.57,1.12,0.76,1.20,0.84,0.63,0.49,0.72,0.76,0.73,0.79,0.83,0.43,0.63,0.38,0.78,0.73,0.71
Canada,0.19,0.80,0.62,0.83,0.00,0.50,0.88,0.94,0.18,0.25,1.11,0.69,1.16,0.31,1.54,1.42,0.57,0.95,0.83,0.40,0.98,0.70,0.32,0.57,0.61,0.74,0.15,0.21,1.00
China,0.54,0.42,0.48,0.67,0.50,0.00,0.70,0.75,0.53,0.53,0.94,0.61,0.93,0.41,1.43,1.27,0.48,0.71,0.65,0.37,0.70,0.64,0.54,0.42,0.41,0.45,0.45,0.39,0.90
Democratic Republic of the Congo,0.88,0.73,0.81,0.66,0.88,0.70,0.00,0.47,0.96,0.94,0.81,0.53,1.13,0.68,1.13,1.01,0.47,0.54,0.55,0.70,0.43,0.59,0.81,0.55,0.53,0.49,0.78,0.73,0.88
Egypt,0.92,0.80,0.75,0.69,0.94,0.75,0.47,0.00,1.02,1.02,0.60,0.50,1.25,0.81,1.12,0.79,0.64,0.47,0.50,0.74,0.55,0.65,0.79,0.65,0.66,0.61,0.85,0.78,0.80
France,0.25,0.83,0.66,0.86,0.18,0.53,0.96,1.02,0.00,0.17,1.17,0.76,1.21,0.40,1.62,1.48,0.64,1.03,0.90,0.48,1.06,0.78,0.42,0.62,0.67,0.79,0.25,0.32,1.09
Germany,0.26,0.80,0.67,0.88,0.25,0.53,0.94,1.02,0.17,0.00,1.22,0.78,1.23,0.39,1.62,1.50,0.66,1.03,0.92,0.50,1.06,0.81,0.45,0.63,0.63,0.81,0.25,0.32,1.15
