partnerID,country,region_state,day,month,year,voter_gender,voter_year_of_birth,education_level,priority1,priority2,priority3,priority4,priority5,priority6,suggested_priority
MDGsNG,Nigeria,Delta,14,3,2013,Male,1983,4,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1968,4,103,101,111,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1994,3,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Female,1984,3,103,104,108,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1989,2,112,103,104,101,111,102,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1976,3,112,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1950,2,109,103,104,101,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1968,2,103,104,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1990,3,109,103,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1991,4,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1987,4,103,107,108,101,111,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1983,4,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1992,3,112,103,107,104,112,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1984,3,103,104,112,101,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1956,3,109,103,104,101,102,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1968,3,103,104,112,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1953,3,103,102,101,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1984,2,103,104,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1978,2,103,104,112,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1988,4,106,104,112,103,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1975,2,109,103,104,112,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1995,3,106,104,112,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1975,2,109,103,104,112,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1989,3,109,103,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1963,3,109,106,103,107,108,102,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1977,3,103,104,113,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1986,4,112,106,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1986,3,110,104,108,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1980,2,109,104,108,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1987,4,110,107,114,104,108,105,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1964,3,112,106,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1959,2,109,106,104,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1976,3,106,103,104,108,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1993,3,112,106,101,102,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1933,1,106,103,108,101,102,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1987,4,112,106,104,111,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1987,4,106,107,104,101,105,115,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1985,4,112,106,104,113,101,111,
MDGsNG,Nigeria,Delta,14,3,2013,Male,1976,3,106,103,104,101,105,115,
